,c0,c1,c10,c11,c12,c13,c14,c15,c2,c3,c4,c5,c6,c7,c9,test
c0,0.0,0.0311,0.1122,0.1228,0.1466,0.1744,0.1964,0.2013,0.0563,0.07,0.0886,0.0977,0.1053,0.0734,0.2037,
c1,0.0311,0.0,0.0959,0.1094,0.1347,0.1644,0.1941,0.2009,0.0294,0.0458,0.0672,0.0796,0.088,0.0474,0.2031,
c10,0.1122,0.0959,0.0,0.0245,0.0599,0.094,0.1414,0.1522,0.0761,0.0649,0.0449,0.0257,0.0142,0.0823,0.154,
c11,0.1228,0.1094,0.0245,0.0,0.0374,0.0729,0.1243,0.1362,0.0927,0.083,0.0654,0.0471,0.0373,0.0977,0.1377,
c12,0.1466,0.1347,0.0599,0.0374,0.0,0.0377,0.1025,0.1171,0.119,0.1099,0.0943,0.0786,0.0709,0.126,0.1178,
c13,0.1744,0.1644,0.094,0.0729,0.0377,0.0,0.078,0.0948,0.1487,0.1391,0.1241,0.1095,0.1032,0.1589,0.0944,
c14,0.1964,0.1941,0.1414,0.1243,0.1025,0.078,0.0,0.0175,0.1828,0.1755,0.164,0.1504,0.1471,0.1949,0.0167,
c15,0.2013,0.2009,0.1522,0.1362,0.1171,0.0948,0.0175,0.0,0.1907,0.184,0.1733,0.1599,0.1571,0.2032,0.0035,
c2,0.0563,0.0294,0.0761,0.0927,0.119,0.1487,0.1828,0.1907,0.0,0.0171,0.0403,0.0563,0.0662,0.0433,0.1929,
c3,0.07,0.0458,0.0649,0.083,0.1099,0.1391,0.1755,0.184,0.0171,0.0,0.0244,0.0427,0.0536,0.0517,0.1861,
c4,0.0886,0.0672,0.0449,0.0654,0.0943,0.1241,0.164,0.1733,0.0403,0.0244,0.0,0.0208,0.032,0.0631,0.1753,
c5,0.0977,0.0796,0.0257,0.0471,0.0786,0.1095,0.1504,0.1599,0.0563,0.0427,0.0208,0.0,0.0121,0.0715,0.162,
c6,0.1053,0.088,0.0142,0.0373,0.0709,0.1032,0.1471,0.1571,0.0662,0.0536,0.032,0.0121,0.0,0.0766,0.1591,
c7,0.0734,0.0474,0.0823,0.0977,0.126,0.1589,0.1949,0.2032,0.0433,0.0517,0.0631,0.0715,0.0766,0.0,0.2054,
c9,0.2037,0.2031,0.154,0.1377,0.1178,0.0944,0.0167,0.0035,0.1929,0.1861,0.1753,0.162,0.1591,0.2054,0.0,
test,,,,,,,,,,,,,,,,
